name,date,open,high,low,close,volumn
AMARIN,14-Oct-14,11.5,11.5,11.4,11.5,45400
AMATA,14-Oct-14,15.5,15.7,15.5,15.6,965200
AMC,14-Oct-14,2.86,2.86,2.84,2.84,796800
ANAN,14-Oct-14,3.92,3.94,3.88,3.88,8187000
AOT,14-Oct-14,220,227,220,225,2469500
AP,14-Oct-14,6.9,6.95,6.85,6.95,13089700
APCO,14-Oct-14,28.75,28.75,28.25,28.5,366700
APCS,14-Oct-14,2.76,2.8,2.74,2.74,110900
APURE,14-Oct-14,1.81,1.87,1.81,1.85,15667100
AQ,14-Oct-14,0.45,0.47,0.45,0.46,187495300
AQUA,14-Oct-14,1.5,1.52,1.49,1.49,13287700
ARIP,14-Oct-14,1.4,1.48,1.39,1.42,16910000
ARROW,14-Oct-14,8.1,8.15,8.05,8.1,928600
AS,14-Oct-14,5.15,5.15,5,5,113100
ASIA,14-Oct-14,94,94.25,94,94,4300
ASIAN,14-Oct-14,3.04,3.04,2.98,3,23800
ASIMAR,14-Oct-14,1.91,1.91,1.89,1.9,553000
ASK,14-Oct-14,19.7,20,19.7,19.9,704000
ASP,14-Oct-14,3.9,3.94,3.9,3.92,8028400
AUCT,14-Oct-14,15.7,15.9,15.3,15.3,1593200
AYUD,14-Oct-14,43.5,43.5,43,43.5,113500
BAFS,14-Oct-14,35.75,36.25,35.75,36.25,19000
BANPU,14-Oct-14,28.5,29,28.25,28.5,12984900
BAT-3K,14-Oct-14,75.5,75.5,75.5,75.5,700
BAY,14-Oct-14,47.25,47.75,47,47,211600
BBL,14-Oct-14,196.5,197.5,196,197,3422800
BCH,14-Oct-14,9.65,9.8,9.65,9.7,801500
BCP,14-Oct-14,33,33.75,33,33.5,2141000
BEAUTY,14-Oct-14,28.75,28.75,28,28,442500
BEC,14-Oct-14,46.5,46.75,46,46,1445800
BECL,14-Oct-14,37.25,37.75,37,37.5,454000
BFIT,14-Oct-14,6.9,7,6.9,7,8700
BGH,14-Oct-14,18,18.2,17.8,17.9,9459200
BGT,14-Oct-14,1.3,1.38,1.26,1.33,10867300
BH,14-Oct-14,129.5,130.5,127,128,1011100
BIGC,14-Oct-14,229,229,220,220,353800
BJC,14-Oct-14,44.5,45.25,44.25,44.25,1449200
BJCHI,14-Oct-14,38,39,38,38.75,1100800
BKD,14-Oct-14,5.25,5.3,5.05,5.05,6274200
BKI,14-Oct-14,364,368,364,368,2900
BKKCP,14-Oct-14,9.9,9.9,9.9,9.9,100
BLA,14-Oct-14,60.75,61.75,60.75,61.5,1026900
BLAND,14-Oct-14,1.97,1.98,1.96,1.96,62284700
BMCL,14-Oct-14,1.77,1.79,1.75,1.76,91077000
BOL,14-Oct-14,2.48,2.56,2.42,2.48,3642000
BROCK,14-Oct-14,2.14,2.24,2.12,2.16,2927200
BROOK,14-Oct-14,3.18,3.18,3.1,3.16,338800
BSBM,14-Oct-14,1.45,1.56,1.44,1.45,40205800
BSM,14-Oct-14,1.43,1.57,1.19,1.2,345738200
BTC,14-Oct-14,0.94,0.96,0.93,0.94,9347900
BTS,14-Oct-14,10,10.1,9.95,10,30077400
BTSGIF,14-Oct-14,10,10,9.95,10,4915300
BWG,14-Oct-14,4.4,4.58,4.38,4.48,29049100
CCET,14-Oct-14,3,3.06,2.96,2.98,6797200
CCN,14-Oct-14,2.84,2.96,2.8,2.88,1957800
CCP,14-Oct-14,6.3,6.3,6.25,6.25,2251900
CEI,14-Oct-14,6.65,6.85,6.65,6.7,445800
CEN,14-Oct-14,3.7,3.7,3.6,3.7,2380700
CENTEL,14-Oct-14,38.75,38.75,37.5,38.25,1081900
CFRESH,14-Oct-14,9,9.1,9,9.05,47400
CGD,14-Oct-14,1.65,1.75,1.65,1.71,66095000
CGS,14-Oct-14,1.62,1.64,1.59,1.6,15435700
CHARAN,14-Oct-14,55,56,55,55,1600
